Title,Date,Rating,Review
Margherita Pizza Review,2025-07-29,3,"The Margherita Pizza was fine, but nothing special. Garlic bread was a bit too crispy."
Margherita Pizza Review,2025-07-26,5,Fresh ingredients and great flavor. Pairs well with lemonade! Not my favorite visit.
Pepperoni Pizza Review,2025-07-29,5,Came with garlic bread — the perfect combo. Will definitely return.
Volcano Pizza Review,2025-07-29,1,The Volcano Pizza burned my mouth and wasn’t enjoyable. Loved the drink selection.
Volcano Pizza Review,2025-07-28,3,"Nice crust, but I wish the Volcano Pizza had more toppings. Felt a bit rushed this time."
Meat Lovers Pizza Review,2025-07-26,3,Good but a bit overloaded. Not for everyone. The staff were welcoming.
Four Cheese Pizza Review,2025-07-27,5,Great crust and loads of cheese. Loved it. Garlic bread was a bit too crispy.
Four Cheese Pizza Review,2025-07-26,5,Went perfectly with garlic bread and lemonade. Service was great.
Meat Lovers Pizza Review,2025-07-26,1,"Greasy, overcooked, and disappointing. Service was great."
Pepperoni Pizza Review,2025-07-27,1,Too salty and greasy. Couldn't finish it. The staff were welcoming.
Pepperoni Pizza Review,2025-07-26,5,I always get the Pepperoni. Never disappoints. Would try something else next time.
Margherita Pizza Review,2025-07-29,5,Loved the simplicity of the Margherita. A classic done right. Enjoyed it with friends in-store.
Pepperoni Pizza Review,2025-07-25,5,Crispy pepperoni and a flavorful sauce. Tony nailed it. Would try something else next time.
Meat Lovers Pizza Review,2025-07-28,1,"Way too much meat, not enough flavor. Will definitely return."
Four Cheese Pizza Review,2025-07-25,5,Great crust and loads of cheese. Loved it. The staff were welcoming.
Meat Lovers Pizza Review,2025-07-29,5,Great value and loaded with flavor. Alex did a great job! Loved the drink selection.
Meat Lovers Pizza Review,2025-07-28,3,Good but a bit overloaded. Not for everyone. Garlic bread was a bit too crispy.
Volcano Pizza Review,2025-07-25,5,Paired the Volcano Pizza with garlic bread and a Coke. Perfection! Enjoyed it with friends in-store.
Meat Lovers Pizza Review,2025-07-26,1,Felt like a mess of ingredients slapped on dough. Not my favorite visit.
Pepperoni Pizza Review,2025-07-25,3,A bit greasy but tasty. Good value. Enjoyed it with friends in-store.
Four Cheese Pizza Review,2025-07-26,5,Went perfectly with garlic bread and lemonade. Not my favorite visit.
Margherita Pizza Review,2025-07-26,5,Sophia recommended the Margherita and it hit the spot. Pizza Boys has a chill atmosphere.
Four Cheese Pizza Review,2025-07-28,5,Creamy and rich. The best cheese combo I’ve had. Loved the drink selection.
Meat Lovers Pizza Review,2025-07-29,3,"Pretty average — some bites were great, some bland. Felt a bit rushed this time."
Four Cheese Pizza Review,2025-07-28,5,Went perfectly with garlic bread and lemonade. Loved the drink selection.
Volcano Pizza Review,2025-07-29,5,This is my third time ordering the Volcano Pizza. Still awesome! The staff were welcoming.
Volcano Pizza Review,2025-07-28,5,"The Volcano Pizza was spicy and full of flavor, just how I like it. The staff were welcoming."
Meat Lovers Pizza Review,2025-07-25,5,Great value and loaded with flavor. Alex did a great job! The staff were welcoming.
Volcano Pizza Review,2025-07-28,3,"Decent spice, but the dough was a bit chewy. Would try something else next time."
Four Cheese Pizza Review,2025-07-29,5,Creamy and rich. The best cheese combo I’ve had. Felt a bit rushed this time.
Margherita Pizza Review,2025-07-26,5,Fresh ingredients and great flavor. Pairs well with lemonade! Enjoyed it with friends in-store.
Volcano Pizza Review,2025-07-29,5,This is my third time ordering the Volcano Pizza. Still awesome! Garlic bread was a bit too crispy.
Margherita Pizza Review,2025-07-29,5,Fresh ingredients and great flavor. Pairs well with lemonade! Felt a bit rushed this time.
Four Cheese Pizza Review,2025-07-27,3,"Good, but a bit rich after a few slices. Not my favorite visit."
